[15:23:35][Max]: salut
[15:23:44][Max]: Sam ?
[15:24:07][Sam]: OUi ?
[15:29:55][Max]: Salut
[15:30:39][Sama]: dz
[15:30:39][Sama]: dz
[15:30:40][Sama]: dz
[15:30:40][Sama]: zd
[15:30:41][Sama]: z
[15:30:42][Sama]: eez
[15:30:43][Sama]: z
[15:30:43][Sama]: e
[15:30:44][Sama]: e
[15:30:44][Sama]: e
[15:30:44][Sama]: e
[15:40:19][Sam]: z
[15:40:20][Sam]: a
[15:40:20][Sam]: a
[15:40:20][Sam]: a
[15:40:21][Sam]: a
[15:40:21][Sam]: d
[16:09:36][Max]: e toi un champion !
[16:12:20][Max]: e toi un champion !
[16:23:40][Max]: e toi un champion !
[16:31:29][Max]: d

[16:33:13][Sam]: d

[16:33:14][Sam]: d

[16:33:15][Sam]: z

[16:33:16][Sam]: d

[16:33:17][Sam]: d

[16:33:17][Sam]: d

[16:33:18][Sam]: z

[16:33:18][Sam]: z

[16:33:57][Sam]: z

[16:34:00][Max]: z

[16:34:01][Max]: z

[16:35:43][Sam]: a

[16:43:49][Sam]: a

[16:43:50][Sam]: a

[16:43:51][Sam]: a

[16:43:51][Sam]: a

[16:43:52][Sam]: a

[16:43:52][Sam]: a

[16:43:53][Sam]: a

[16:43:53][Sam]: a

[16:43:59][Sam]: tg

[16:44:04][Max]: 

[16:44:08][Sam]: d

[16:44:14][Max]: d

[16:44:17][Max]: d

[16:44:27][Sam]: 

[16:44:29][Max]: dz

[16:48:22][Max]: dd

[16:48:22][Max]: d

[16:48:22][Max]: d

[16:48:23][Max]: d

[16:48:23][Max]: d

[16:48:23][Max]: d

[16:48:23][Max]: d

[16:48:24][Max]: d

[16:48:24][Max]: d

[16:48:24][Max]: d

[16:48:25][Max]: d

[16:50:02][Sam]: ffff

[16:50:04][Sam]: dddd

[16:50:06][Sam]: g

[16:50:07][Sam]: h

[16:50:08][Sam]: h

[16:50:08][Sam]: h

[16:50:09][Sam]: h

[16:50:09][Sam]: h

[16:50:10][Sam]: h

[16:50:11][Sam]: 

[16:50:11][Sam]: h

[16:50:12][Sam]: h

[16:50:12][Sam]: h

[16:50:13][Sam]: hh

[16:50:14][Sam]: h

[16:51:03][Max]: b

[16:51:04][Max]: i

[16:51:05][Max]: i

[16:51:06][Max]: iiii

[16:51:07][Max]: i

[16:51:07][Max]: i

[16:51:07][Max]: i

[16:51:08][Max]: i

[16:51:08][Max]: i

[16:51:08][Max]: i

[16:51:08][Max]: i

[16:51:09][Max]: i

[16:51:10][Max]: i

[16:51:11][Sam]: i

[16:51:12][Sam]: i

[16:51:12][Sam]: i

[16:51:13][Sam]: ii

[16:51:13][Sam]: i

[14:09:47][Max]: a

[14:09:48][Max]: a

[14:09:48][Max]: a

[14:09:49][Max]: a

[14:09:49][Max]: a

[14:09:50][Max]: z

[14:10:02][Sam]: 

[14:10:04][Sam]: a

[14:10:05][Sam]: a

[14:10:06][Sam]: a

[14:10:07][Sam]: a

[14:10:47][Max]: /send

[14:11:45][Sam]: a

[14:19:26][Sam]: a
a
q
q
q
q

[14:20:22][Max]: a

[14:20:23][Max]: a

[14:20:24][Max]: d

[14:20:24][Max]: d

[14:20:47][Sam]: d

[14:20:48][Sam]: d

[14:20:49][Sam]: d

[14:20:50][Sam]: d

[14:20:50][Sam]: d

[14:21:16][Max]: d

[14:21:16][Max]: d

[14:21:17][Max]: d

[14:21:17][Max]: d

[14:21:18][Sam]: a

[14:21:19][Sam]: a

[14:21:19][Sam]: a

[14:21:19][Sam]: a

[14:21:19][Sam]: a

